Destination,Location code of destination,Origin,Location code of origin,jul1990,jul1995,jul2000,jul2005,jul2010,jul2015,jul2020,jul2024
Central America,916,South-Eastern Asia,920,787.0,977,1272,1823,2774,3251,3925,5487
Central America,916,Western Asia,922,4557.0,4652,5009,5134,5829,6394,7168,9156
Central America,916,Eastern Europe,923,5491.0,5252,5668,5914,7575,8521,10027,12757
Central America,916,Northern Europe,924,5126.0,5274,5875,6862,8852,9812,11094,13467
Central America,916,Southern Europe,925,39356.0,36321,35361,34177,37388,40505,44884,51457
Central America,916,Western Europe,926,18951.0,19523,21838,22725,27367,29682,32967,37605
Central America,916,Caribbean,915,22206.0,23236,27663,28822,38747,49473,81596,208957
Central America,916,Central America,916,857954.0,615716,463322,505638,576463,635637,830921,1075965
Central America,916,South America,931,62513.0,68544,82073,108286,169396,213110,429511,618833
Central America,916,Northern America,905,266855.0,320235,397191,558370,792889,838801,880575,922249
Central America,916,Australia and New Zealand,927,488.0,468,495,638,885,986,1122,1394
Central America,916,Melanesia,928,1.0,1,1,2,2,1,1,1
Central America,916,Micronesia,954,239.0,276,318,74,20,15,16,17
South America,931,Australia and New Zealand,1836,4813.0,5120,4996,5060,5068,5242,5386,6152
South America,931,Eastern Africa,910,1969.0,2017,2088,2216,2307,2903,4037,3782
South America,931,Middle Africa,911,6413.0,7916,8512,9204,9119,10779,18990,18471
South America,931,Northern Africa,912,7475.0,7431,6596,6614,6427,7112,8723,9716
South America,931,Southern Africa,913,643.0,2582,2263,2492,2467,2945,3412,3326
South America,931,Western Africa,914,531.0,5275,4732,5445,5892,14274,25515,11987
South America,931,Central Asia,5500,37.0,55,74,113,167,270,573,633
South America,931,Eastern Asia,906,172392.0,166979,159613,159298,159025,163515,173651,196015
South America,931,Southern Asia,5501,2608.0,3218,3457,4172,5497,8998,17435,19968
South America,931,South-Eastern Asia,920,2560.0,4451,4123,4289,4250,4894,6188,13192
South America,931,Western Asia,922,69101.0,65966,60421,57803,55332,58683,63917,66541
South America,931,Eastern Europe,923,110555.0,84216,65178,50062,39069,29041,24623,30206
South America,931,Northern Europe,924,23285.0,24877,24786,26536,28083,30065,32248,34215
South America,931,Southern Europe,925,1348413.0,1136671,963097,831357,730848,637287,557526,653795
South America,931,Western Europe,926,146930.0,138770,132741,131611,130153,126823,130378,138344
South America,931,Caribbean,915,67150.0,68144,71000,80188,97899,136015,375893,432415
South America,931,Central America,916,44239.0,45353,46804,49811,54947,64887,76303,80649
South America,931,South America,931,2078390.0,2221832,2400326,2762406,3642765,3929172,8133044,10373324
South America,931,Northern America,905,86536.0,93141,99882,111798,125439,134800,144106,141502
South America,931,Australia and New Zealand,927,4813.0,5120,4996,5060,5068,5242,5386,6152
South America,931,Melanesia,928,159.0,271,225,170,90,45,6,6
South America,931,Polynesia,957,18.0,65,112,86,67,112,256,282
Northern America,905,Australia and New Zealand,1836,21131.0,22740,24373,27278,35703,42543,37105,37832
Northern America,905,Eastern Africa,910,114153.0,95179,215166,297763,405891,556882,665393,824896
Northern America,905,Middle Africa,911,1523.0,3843,8742,16289,26551,44362,59291,83452
Northern America,905,Northern Africa,912,119173.0,151738,201978,262455,331892,429085,506841,594180
Northern America,905,Southern Africa,913,60481.0,63730,102956,132906,132375,150306,180789,214400
Northern America,905,Western Africa,914,85474.0,129414,218646,284687,411856,584651,797283,1011127
Northern America,905,Central Asia,5500,8502.0,6685,5019,8471,13511,18953,20829,23049
Northern America,905,Eastern Asia,906,2584695.0,3115998,3849381,4188351,4896506,5603565,5720648,6023977
Northern America,905,Southern Asia,5501,1042440.0,1405214,2326639,2992872,3819302,4925311,5716231,6684848
Northern America,905,South-Eastern Asia,920,2239538.0,2834298,3429111,3909366,4574369,5119200,5345140,5695950
Northern America,905,Western Asia,922,414951.0,455869,611495,668433,833981,1002870,1133111,1295469
Northern America,905,Eastern Europe,923,1408891.0,1637642,1671109,1835794,1875626,1889973,1928063,1973105
Northern America,905,Northern Europe,924,1816398.0,1858679,1713232,1635607,1634745,1619563,1566138,1522811
Northern America,905,Southern Europe,925,1884266.0,1715454,1720922,1567196,1531951,1499731,1384997,1314507
Northern America,905,Western Europe,926,2058490.0,2946636,1999545,1795424,1845263,1866380,1768062,1757249
Northern America,905,Caribbean,915,2929275.0,3611254,4184965,4574733,5385403,6077488,6686860,7153912
Northern America,905,Central America,916,5682205.0,8751976,11234333,13710804,15017573,15487556,15159867,15736610
Northern America,905,South America,931,1088866.0,1385153,1992669,2496523,2833636,3096015,3735121,4501186
Northern America,905,Northern America,905,1136290.0,1268900,1209869,1203915,1238730,1295976,1205274,1213014
Northern America,905,Australia and New Zealand,927,21131.0,22740,24373,27278,35703,42543,37105,37832
Northern America,905,Melanesia,928,15484.0,18347,21714,24193,24843,25117,24774,24028
Australia and New Zealand,927,Australia and New Zealand,1836,312024.0,358418,422236,485874,583192,644147,664403,677217
Australia and New Zealand,927,Eastern Africa,910,41276.0,51257,60938,87276,123529,156167,174947,187694
Australia and New Zealand,927,Middle Africa,911,572.0,731,989,1695,4348,7082,10655,12328
Australia and New Zealand,927,Northern Africa,912,42052.0,44495,46260,61688,72562,71639,73796,72606
Australia and New Zealand,927,Southern Africa,913,54024.0,70583,106098,155667,208529,243321,286425,319559
Australia and New Zealand,927,Western Africa,914,2392.0,3429,4791,8939,17008,24534,31839,38775
Australia and New Zealand,927,Central Asia,5500,324.0,515,1053,1812,3043,4501,5711,6563
Australia and New Zealand,927,Eastern Asia,906,235275.0,314916,390300,556892,759198,991567,1171756,1230801
Australia and New Zealand,927,Southern Asia,5501,140029.0,187741,236195,358642,657057,960775,1449497,1819132
Australia and New Zealand,927,South-Eastern Asia,920,412108.0,507419,569239,665936,848331,1022374,1260471,1415388
Australia and New Zealand,927,Western Asia,922,152184.0,172489,197300,226835,265465,302434,364278,387146
Australia and New Zealand,927,Eastern Europe,923,170799.0,175253,171624,172244,171053,174909,173876,170243
Australia and New Zealand,927,Northern Europe,924,1448098.0,1478448,1451348,1466922,1563737,1614470,1575806,1504033
Australia and New Zealand,927,Southern Europe,925,677383.0,671612,655324,648704,619481,594101,541128,481567
Australia and New Zealand,927,Western Europe,926,294674.0,305756,303916,313973,323608,319240,305843,282747
Australia and New Zealand,927,Caribbean,915,3528.0,3858,4244,4710,5200,6063,6271,6361
Australia and New Zealand,927,Central America,916,13160.0,13635,13770,14551,16522,19324,21837,23537
Australia and New Zealand,927,South America,931,61656.0,66576,69612,80123,105601,139139,202834,257147
Australia and New Zealand,927,Northern America,905,88584.0,101108,111205,133499,160509,193123,211641,218010
Australia and New Zealand,927,Australia and New Zealand,927,312024.0,358418,422236,485874,583192,644147,664403,677217
Australia and New Zealand,927,Melanesia,928,73749.0,86883,100855,121920,145900,168853,183598,207192
Australia and New Zealand,927,Micronesia,954,1322.0,1419,1487,1914,2559,3275,4260,5523
Australia and New Zealand,927,Polynesia,957,90262.0,96668,111532,122555,129915,144580,162153,178569
Melanesia,928,Australia and New Zealand,1836,20394.0,20791,16506,16663,15001,15144,15282,15400
Melanesia,928,Eastern Africa,910,38.0,38,28,34,28,28,27,27
Melanesia,928,Northern Africa,912,1538.0,1782,2027,2158,2291,1759,1865,1958
Melanesia,928,Eastern Asia,906,1790.0,1797,1665,1731,1694,1679,1695,1712
Melanesia,928,Southern Asia,5501,4462.0,4454,4306,4329,4584,4717,4820,4910
Melanesia,928,South-Eastern Asia,920,12979.0,12581,11738,15234,18566,18075,18291,18476
Melanesia,928,Eastern Europe,923,41.0,42,31,31,26,26,25,25
Melanesia,928,Northern Europe,924,3342.0,3196,2434,2397,2116,2151,2163,2176
Melanesia,928,Southern Europe,925,325.0,376,428,456,484,370,389,409
Melanesia,928,Western Europe,926,19595.0,22669,25744,31189,36627,44444,47197,49500
Melanesia,928,Northern America,905,1603.0,1637,1253,1202,984,995,996,998
Melanesia,928,Australia and New Zealand,927,20394.0,20791,16506,16663,15001,15144,15282,15400
Melanesia,928,Melanesia,928,6503.0,6949,7180,7273,7413,6342,6570,6774
Melanesia,928,Micronesia,954,1701.0,1680,1632,1291,1036,1040,1051,1061
Melanesia,928,Polynesia,957,10248.0,11542,12840,11280,9835,13838,14602,15256
Micronesia,954,Australia and New Zealand,1836,340.0,328,319,313,161,177,188,203
Micronesia,954,Eastern Asia,906,14574.0,19948,26534,21469,13293,12840,13317,13743
Micronesia,954,Southern Asia,5501,590.0,781,1022,919,800,906,985,1066
Micronesia,954,South-Eastern Asia,920,39674.0,44942,50164,50200,45629,44330,46271,47878
Micronesia,954,Northern Europe,924,23.0,18,13,11,9,8,7,7
Micronesia,954,Caribbean,915,1117.0,1327,1606,3473,4933,4861,5094,5292
Micronesia,954,Northern America,905,30418.0,26576,22653,22324,21661,21723,22822,23747
Micronesia,954,Australia and New Zealand,927,340.0,328,319,313,161,177,188,203
Micronesia,954,Melanesia,928,524.0,544,563,675,699,770,826,885
Micronesia,954,Micronesia,954,13876.0,16373,18971,20928,20683,20547,21575,22458
Micronesia,954,Polynesia,957,730.0,670,610,597,367,387,407,431
Polynesia,957,Australia and New Zealand,1836,4300.0,4876,5452,5699,6025,5722,5902,6076
Polynesia,957,Eastern Africa,910,35.0,44,52,58,41,38,27,27
Polynesia,957,Northern Africa,912,605.0,664,710,743,717,681,681,681
Polynesia,957,Eastern Asia,906,1128.0,1304,1468,1727,1909,1816,1796,1787
Polynesia,957,Southern Asia,5501,175.0,196,218,248,261,226,215,207
Polynesia,957,South-Eastern Asia,920,395.0,638,882,1115,1347,1343,1345,1350
Polynesia,957,Northern Europe,924,172.0,175,177,195,204,197,202,209
Polynesia,957,Southern Europe,925,204.0,223,240,250,241,228,228,228
Polynesia,957,Western Europe,926,18657.0,20600,22084,23641,23386,23806,23831,23843
Polynesia,957,Northern America,905,4347.0,4510,4673,4161,3565,3464,3452,3450
Polynesia,957,Australia and New Zealand,927,4300.0,4876,5452,5699,6025,5722,5902,6076
Polynesia,957,Melanesia,928,3705.0,4199,4731,5158,5099,5169,5171,5184
Polynesia,957,Micronesia,954,95.0,93,88,85,89,85,81,83
Polynesia,957,Polynesia,957,17809.0,19840,21853,20955,19890,19522,19500,19500
