,title,published_date,img_url,image_url
2492,THE HOST,2013-04-28,,https://storage.googleapis.com/du-prd/books/images/9780316218504.jpg
820,FALLING INTO YOU,2013-04-28,,https://storage.googleapis.com/du-prd/books/images/A00B00BUPMC8C.jpg
2836,THE SHADOWY HORSES,2013-04-28,,
849,FEVER,2013-04-28,,https://storage.googleapis.com/du-prd/books/images/9780425267066.jpg
1629,OWN THE WIND,2013-04-21,,https://storage.googleapis.com/du-prd/books/images/9781455599264.jpg
2042,STARTING NOW,2013-04-21,,https://storage.googleapis.com/du-prd/books/images/9780345533531.jpg
1340,LOVER AT LAST,2013-04-21,,https://storage.googleapis.com/du-prd/books/images/9780451239358.jpg
1458,MUSIC OF THE HEART,2013-04-21,,
3149,TWICE TEMPTED,2013-04-14,,https://storage.googleapis.com/du-prd/books/images/9780062075833.jpg
1843,SAND CASTLE BAY,2013-04-14,,https://storage.googleapis.com/du-prd/books/images/9780778314363.jpg
126,A WEEK IN WINTER,2013-04-14,,https://storage.googleapis.com/du-prd/books/images/9780307273574.jpg
1246,LEAVING EVERYTHING MOST LOVED,2013-04-14,,https://storage.googleapis.com/du-prd/books/images/9780062049605.jpg
2358,THE EDGE OF NEVER,2013-04-14,,https://storage.googleapis.com/du-prd/books/images/9781455548996.jpg
3041,THREE SISTERS,2013-04-14,,https://storage.googleapis.com/du-prd/books/images/9781460306390.jpg
212,AND THEN SHE FELL,2013-04-14,,
1048,HIGHLANDER MOST WANTED,2013-04-07,,
3349,WITH THIS KISS,2013-04-07,,
678,DEFENDING JACOB,2013-04-07,,https://storage.googleapis.com/du-prd/books/images/9780345527592.jpg
1274,LIFE OF PI,2013-04-07,,https://storage.googleapis.com/du-prd/books/images/9780156027328.jpg
141,ADMISSION,2013-04-07,,https://storage.googleapis.com/du-prd/books/images/9780446557634.jpg
436,CALCULATED IN DEATH,2013-03-31,,https://storage.googleapis.com/du-prd/books/images/9781101609248.jpg
1422,MIRROR IMAGE,2013-03-31,,https://storage.googleapis.com/du-prd/books/images/9781455546343.jpg
405,BREAKING POINT,2013-03-31,,https://storage.googleapis.com/du-prd/books/images/9781101609279.jpg
1492,NEVER TOO FAR,2013-03-31,,https://storage.googleapis.com/du-prd/books/images/A00B00BLBK1QK.jpg
814,FALLEN TOO FAR,2013-03-31,,https://storage.googleapis.com/du-prd/books/images/A00B00AOTGI08.jpg
370,BLOODFIRE QUEST,2013-03-31,,
594,DAMASCUS COUNTDOWN,2013-03-24,,https://storage.googleapis.com/du-prd/books/images/9781414381855.jpg
1743,RECKLESS,2013-03-24,,https://storage.googleapis.com/du-prd/books/images/9781476718217.jpg
933,FROST BURNED,2013-03-24,,https://storage.googleapis.com/du-prd/books/images/9780441020010.jpg
1125,IMMORTAL EVER AFTER,2013-03-17,,https://storage.googleapis.com/du-prd/books/images/9780062078124.jpg
1830,RUSH,2013-03-17,,https://storage.googleapis.com/du-prd/books/images/9780425267042.jpg
3234,WAIT FOR ME,2013-03-17,,https://storage.googleapis.com/du-prd/books/images/9780985671952.jpg
752,EDGE OF DAWN,2013-03-17,,
1019,HEARTSONG,2013-03-17,,https://storage.googleapis.com/du-prd/books/images/9780345545220.jpg
1000,HARD TO RESIST,2013-03-10,,https://storage.googleapis.com/du-prd/books/images/A00B00BEQP450.jpg
283,BEAUTIFUL BASTARD,2013-03-10,,https://storage.googleapis.com/du-prd/books/images/9781476730097.jpg
1119,IF YOU STAY,2013-03-10,,https://storage.googleapis.com/du-prd/books/images/9781455550821.jpg
2288,THE CIDER HOUSE RULES,2013-03-10,,
2128,"TALL, DARK AND DEADLY",2013-03-10,,
3236,WAITING FOR LOVE,2013-03-10,,https://storage.googleapis.com/du-prd/books/images/9780985034153.jpg
986,GUILT,2013-03-10,,https://storage.googleapis.com/du-prd/books/images/9780345538819.jpg
1685,PRIVATE BERLIN,2013-03-10,,https://storage.googleapis.com/du-prd/books/images/9780316211178.jpg
2345,THE DINNER,2013-03-10,,
2754,THE POWER TRIP,2013-03-03,,https://storage.googleapis.com/du-prd/books/images/9781250011015.jpg
1324,LOST TO YOU,2013-03-03,,https://storage.googleapis.com/du-prd/books/images/9781938404504.jpg
2517,THE INFORMATIONIST,2013-03-03,,
2137,TENTH OF DECEMBER,2013-03-03,,https://storage.googleapis.com/du-prd/books/images/9780812993813.jpg
1071,HOPELESS,2013-02-24,,https://storage.googleapis.com/du-prd/books/images/9781481251884.jpg
521,COLLIDE,2013-02-24,,https://storage.googleapis.com/du-prd/books/images/A00B00B385VCU.jpg
3252,WARM BODIES,2013-02-24,,
917,FOUR WEDDINGS AND A FIASCO BOXED SET,2013-02-24,,
3192,UNTIL THE END OF TIME,2013-02-24,,https://storage.googleapis.com/du-prd/books/images/9780345538659.jpg
580,CRYSTAL COVE,2013-02-24,,https://storage.googleapis.com/du-prd/books/images/9781250011756.jpg
51,A DEEPER LOVE INSIDE,2013-02-17,,
2298,THE COINCIDENCE OF CALLIE AND KAYDEN,2013-02-17,,https://storage.googleapis.com/du-prd/books/images/A00B00ANDLC6K.jpg
744,DYING TO READ,2013-02-17,,
2389,THE FIFTH ASSASSIN,2013-02-17,,https://storage.googleapis.com/du-prd/books/images/9780446553971.jpg
1759,REFLECTED IN YOU,2013-02-10,,https://storage.googleapis.com/du-prd/books/images/9781101604915.jpg
268,BARED TO YOU,2013-02-10,,https://storage.googleapis.com/du-prd/books/images/9780425263907.jpg
2339,THE DEVIL COLONY,2013-02-03,,https://storage.googleapis.com/du-prd/books/images/9780062000125.jpg
2917,THE THIRD BULLET,2013-02-03,,https://storage.googleapis.com/du-prd/books/images/9781451640250.jpg
161,AGENDA 21,2013-02-03,,https://storage.googleapis.com/du-prd/books/images/9781476717005.jpg
2223,THE BLOOD GOSPEL,2013-01-27,,
2511,THE HUSBAND LIST,2013-01-27,,https://storage.googleapis.com/du-prd/books/images/9781250025975.jpg
731,DREAM EYES,2013-01-27,,https://storage.googleapis.com/du-prd/books/images/9781101609149.jpg
520,COLLATERAL DAMAGE,2013-01-27,,https://storage.googleapis.com/du-prd/books/images/9781101609132.jpg
1690,PRIVATE LONDON,2013-01-27,,https://storage.googleapis.com/du-prd/books/images/9781455515530.jpg
3039,THREAT VECTOR,2013-01-20,,https://storage.googleapis.com/du-prd/books/images/9780399160455.jpg
1538,NOTORIOUS NINETEEN,2013-01-20,,https://storage.googleapis.com/du-prd/books/images/9780345527752.jpg
1399,"MERRY CHRISTMAS, ALEX CROSS",2013-01-20,,https://storage.googleapis.com/du-prd/books/images/9780316210683.jpg
762,EMPIRE AND HONOR,2013-01-20,,https://storage.googleapis.com/du-prd/books/images/9780399160660.jpg
1917,SHADOW WOMAN,2013-01-20,,https://storage.googleapis.com/du-prd/books/images/9780345535924.jpg
1900,SHADES OF GRAY,2013-01-20,,https://storage.googleapis.com/du-prd/books/images/9781101614648.jpg
3171,"UNDER THE DOME, PART 1",2013-01-13,,
3255,WATER FOR ELEPHANTS,2013-01-13,,https://storage.googleapis.com/du-prd/books/images/9781616200718.jpg
2431,THE GIRL WITH THE DRAGON TATTOO,2013-01-13,,https://storage.googleapis.com/du-prd/books/images/9780307949486.jpg
2568,THE LAST MAN,2013-01-06,,https://storage.googleapis.com/du-prd/books/images/9781439100530.jpg
2938,THE TWELVE TRIBES OF HATTIE,2013-01-06,,https://storage.googleapis.com/du-prd/books/images/9780385350280.jpg
