,runnerId,age,gender,countryCode,racesCount,Usa citizen
24315,41784161,46,M,USA,1,1
24316,41789036,24,W,USA,1,1
24317,41764126,44,W,USA,2,1
24318,41779030,55,M,THA,2,0
24319,41779988,37,M,MEX,1,0
24320,41788846,27,W,USA,1,1
24321,41786434,23,W,FIN,1,0
24322,41791867,25,W,USA,1,1
24323,41799561,60,M,DEU,2,0
24324,41763562,50,W,USA,8,1
24325,41789653,23,W,FIN,1,0
24326,41761919,32,W,USA,10,1
24327,41773601,51,M,GBR,3,0
24328,41762608,27,W,USA,4,1
24329,41750738,50,W,USA,1,1
24330,41758210,39,W,USA,17,1
24331,41796700,40,W,ITA,2,0
24332,41794315,24,W,USA,1,1
24333,41762180,32,M,USA,10,1
24334,41786234,52,M,DEU,1,0
24335,41804939,25,W,USA,1,1
24336,41798892,49,M,BEL,1,0
24337,41757906,34,W,USA,5,1
24338,41770818,25,M,ITA,5,0
24339,41757444,30,W,USA,3,1
24340,41760404,50,W,USA,10,1
24341,41800470,46,W,CHE,1,0
24342,41757547,47,M,USA,34,1
24343,41788537,22,W,USA,1,1
24344,41781743,24,W,USA,12,1
24345,41787264,67,M,DEU,1,0
24346,41770718,56,M,USA,27,1
24347,41791503,40,M,FRA,1,0
24348,41776917,42,W,USA,4,1
24349,41805693,52,M,PRT,1,0
24350,41761373,32,M,USA,19,1
24351,41758681,32,M,USA,31,1
24352,41770487,30,M,USA,1,1
24353,41776849,41,W,USA,21,1
24354,41797366,49,M,ITA,1,0
24355,41764108,53,M,USA,6,1
24356,41772658,46,M,USA,31,1
24357,41794348,24,W,USA,1,1
24358,41784887,41,W,USA,1,1
24359,41769062,59,M,CHE,2,0
24360,41771429,27,M,USA,17,1
24361,41798605,42,M,GBR,1,0
24362,41759384,36,W,USA,28,1
24363,41778171,44,M,CAN,3,0
24364,41778851,43,M,USA,13,1
24365,41761111,57,W,USA,66,1
24366,41795225,50,M,USA,1,1
24367,41792419,22,W,USA,1,1
24368,41790414,45,W,PAK,1,0
24369,41754675,36,W,USA,41,1
24370,41768968,54,M,FRA,1,0
24371,41777710,42,W,USA,18,1
24372,41794878,39,M,BRA,1,0
24373,41803232,59,M,DEU,2,0
24374,41794568,53,M,USA,1,1
24375,41759479,56,M,USA,2,1
24376,41783058,24,W,USA,2,1
24377,41789969,45,M,PAK,1,0
24378,41783231,34,M,USA,19,1
24379,41797779,56,M,ITA,1,0
24380,41790125,25,W,USA,1,1
24381,41775531,32,M,USA,14,1
24382,41763087,40,M,AUT,2,0
24383,41775298,60,M,ITA,5,0
24384,41804581,59,M,DEU,1,0
24385,41768875,35,M,USA,19,1
24386,41776806,24,W,USA,3,1
24387,41762388,44,W,USA,61,1
24388,41750293,60,W,USA,24,1
24389,41777364,37,M,USA,15,1
24390,41770343,34,W,USA,46,1
24391,41793085,25,W,USA,1,1
24392,41793377,38,M,USA,1,1
24393,41785595,20,W,USA,2,1
24394,41797406,35,W,MEX,1,0
24395,41789394,26,W,USA,1,1
24396,41770317,53,M,USA,28,1
24397,41751915,49,W,USA,5,1
24398,41774053,26,W,USA,1,1
24399,41755456,43,W,USA,18,1
24400,41795151,33,M,USA,1,1
24401,41764542,47,M,USA,2,1
24402,41802082,29,M,USA,1,1
24403,41764715,56,M,ITA,4,0
24404,41794369,49,W,DNK,1,0
24405,41794714,25,W,USA,1,1
24406,41763095,44,M,USA,3,1
24407,41801592,34,M,NLD,1,0
24408,41751604,54,M,USA,432,1
24409,41792234,30,M,FRA,2,0
24410,41760743,37,M,USA,48,1
24411,41780520,37,W,USA,1,1
24412,41804063,60,M,DNK,1,0
24413,41788766,26,W,USA,1,1
24414,41758927,51,M,USA,79,1
24415,41779487,28,M,USA,1,1
24416,41792236,28,W,FRA,2,0
24417,41751329,51,W,USA,133,1
24418,41794823,45,M,NLD,1,0
24419,41756122,33,M,USA,96,1
24420,41771822,26,W,USA,2,1
24421,41783888,47,M,USA,2,1
24422,41774922,26,W,USA,2,1
24423,41768913,26,W,USA,2,1
24424,41771257,33,W,USA,23,1
24425,41800579,65,M,NOR,1,0
24426,41784949,24,M,MEX,1,0
24427,41787098,40,W,FRA,1,0
24428,41772912,27,M,USA,12,1
24429,41763455,33,W,USA,61,1
24430,41794048,24,W,USA,1,1
24431,41778720,41,M,USA,17,1
24432,41800431,48,M,USA,1,1
24433,41755024,41,W,USA,4,1
24434,41754086,52,W,USA,12,1
24435,41792303,32,W,USA,1,1
24436,41753685,59,W,USA,1,1
24437,41803977,49,M,PHL,1,0
24438,41786550,27,M,USA,1,1
24439,41756499,43,M,USA,29,1
24440,41779295,26,M,USA,3,1
24441,41769549,30,M,USA,1,1
24442,41750938,34,M,USA,23,1
24443,41762092,42,M,USA,24,1
24444,41751282,68,M,USA,63,1
24445,41753290,58,M,ESP,3,0
24446,41757930,42,M,MEX,1,0
24447,41750956,53,W,USA,74,1
24448,41792369,52,M,FRA,1,0
24449,41774047,34,W,USA,1,1
24450,41789918,31,W,USA,1,1
24451,41792046,36,M,USA,1,1
24452,41763746,38,M,USA,40,1
24453,41797971,52,M,MEX,1,0
24454,41797329,40,M,ITA,1,0
24455,41798168,50,W,CAN,1,0
24456,41796268,53,M,DEU,1,0
24457,41779874,57,W,USA,5,1
24458,41778738,25,W,USA,11,1
24459,41750889,55,M,USA,155,1
24460,41781145,32,W,USA,2,1
24461,41783097,24,W,USA,1,1
24462,41774035,30,M,USA,2,1
24463,41756046,35,M,USA,2,1
24464,41798770,27,W,USA,1,1
24465,41798966,27,W,USA,1,1
24466,41792073,36,M,ESP,1,0
24467,41768024,29,W,USA,2,1
24468,41801393,30,W,USA,1,1
24469,41755007,48,W,USA,12,1
24470,41799719,39,M,NLD,1,0
24471,41769950,26,W,USA,26,1
24472,41801389,42,M,USA,1,1
24473,41777706,58,M,USA,18,1
24474,41752839,44,M,USA,37,1
24475,41801106,40,W,CAN,1,0
24476,41800157,44,W,AUS,1,0
24477,41778672,30,W,USA,17,1
